title;description;url;image
Todo App;A distraction-free web app to help you focus on creating and completing tasks.;https://github.com/Cpt0988/To_do_list_project-/tree/web_app/web_app;1.png
Portfolio Website;A website built entirely in Python to showcase coding projects and apps.;https://github.com/Cpt0988/Python-portfolio;2.png
RPS; A Small program that you can play Rock, Paper, Scissor; https://github.com/Cpt0988/App-Projects/blob/project/small%20program/RPS.py;RSP.png
